no.,volumn out parcel
2399,延平段二小段495等三筆
2400,迪化段三小段181
2401,迪化段三小段181-1
2402,迪化段三小段182
2403,迪化段三小段182-1
2404,迪化段三小段182-2等五筆
2405,迪化段二小段166
2406,迪化段二小段166-2
2407,迪化段二小段167
2408,迪化段二小段167-14等四筆
2409,延平段二小段494
2410,延平段二小段494-1
2411,延平段二小段495等三筆
2412,延平段二小段494
2413,延平段二小段494-1
2414,延平段二小段495等三筆
2415,延平段二小段489
2416,延平段二小段490
2417,延平段二小段490-1
2418,延平段二小段491等四筆
2419,延平段三小段597
2420,延平段三小段597-1
2421,延平段三小段598等三筆
2422,迪化段一小段134
2423,迪化段一小段135
2424,迪化段一小段136
2425,迪化段一小段137
2426,迪化段一小段138
2427,迪化段一小段139
2428,迪化段一小段140
2429,迪化段一小段140-1
2430,迪化段一小段141
2431,迪化段一小段142
2432,迪化段一小段143
2433,迪化段一小段144
2434,迪化段一小段145
2435,迪化段一小段155-3等十四筆
2436,迪化段一小段65號
2437,迪化段一小段61巷3號
2438,一小段217
2439,一小段218
2440,一小段219
2441,一小段220等四筆
2442,振興段三小段469
2443,振興段三小段567
2444,振興段三小段468-1
2445,振興段三小段468-2等五筆
2446,延平段三小段309
2447,延平段三小段309-5號等二筆
2448,延平段二小段454
2449,延平段二小段454-1
2450,延平段二小段454-2
2451,延平段二小段455等四筆
2452,延平段二小段163
2453,延平段二小段164
2454,延平段二小段164-2等三筆
2455,迪化段三小段46
2456,迪化段三小段46-1
2457,迪化段三小段46-2
2458,迪化段三小段47等四筆
2459,迪化段三小段大同區217
2460,迪化段三小段218
2461,迪化段三小段219
2462,迪化段三小段220等四筆
2463,延平段二小段487
2464,延平段二小段487-1
2465,延平段二小段488等三筆
2466,延平段三小段586
2467,延平段一小段217
2468,延平段一小段218
2469,延平段一小段219
2470,延平段一小段220等四筆
2471,延平段二小段930等十筆
2472,延平段二小段224巷1.3.5號）
2473,延平段二小段930等十筆
2474,延平段二小段224巷1.3.5號）
2475,延平段三小段606
2476,延平段三小段606-1
2477,延平段三小段607等三筆
2478,延平段三小段606
2479,延平段三小段606-1
2480,延平段三小段607等三筆
2481,延平段二小段930等十筆
2482,延平段二小段224巷1.3.5號)
2483,迪化段三小段181
2484,迪化段三小段181-1
2485,迪化段三小段182
2486,迪化段三小段182-1
2487,迪化段三小段182-2等五筆
2488,迪化段三小段44
2489,迪化段三小段45
2490,迪化段三小段45-1
2491,迪化段三小段45-2等四筆
2492,迪化段三小段46
2493,迪化段三小段46-1
2494,迪化段三小段46-2
2495,迪化段三小段47等四筆
2496,延平段三小段606
2497,延平段三小段606-1
2498,延平段三小段607等
2499,迪化段一小段134
2500,迪化段一小段135
2501,迪化段一小段136
2502,迪化段一小段137
2503,迪化段一小段138
2504,迪化段一小段139
2505,迪化段一小段140
2506,迪化段一小段140-1
2507,迪化段一小段141
2508,迪化段一小段142
2509,迪化段一小段143
2510,迪化段一小段144
2511,迪化段一小段145
2512,迪化段一小段155-3等十四筆
2513,迪化段一小段65號
2514,迪化段一小段61巷3號
2515,延平段三小段603.604.604-1
2516,延平段二小段九三O
2517,延平段二小段224巷1.3.5號
2518,延平段二小段三七五
2519,延平段二小段三七五-一
2520,延平段二小段三七六等三筆
2521,向陽段19-5
2522,延平段二小段五五四等十五筆
2523,延平段二小段301
2524,延平段二小段303
2525,延平段二小段305號
2526,延平段二小段307巷2-1號
2527,延平段二小段安西街134-1號
2528,延平段三小段603.604.604-1
2529,延平段二小段九三O
2530,延平段二小段224巷1.3.5號
2531,延平段二小段五五四
2532,延平段二小段301
2533,延平段二小段303
2534,延平段二小段305號
2535,延平段二小段307巷2-1號
2536,延平段二小段安西街134-1號
2537,延平段二小段二八六等二十七筆
2538,延平段二小段312巷1至5號
2539,延平段三小段603.604.604-1
2540,延平段三小段603.604.604-1
2541,向陽段5
2542,延平段3小段240
2543,延平段3小段附件下載
2544,迪化段三小段146
2545,迪化段三小段72巷4號6號
2546,延平段2小段286等27筆
2547,延平段2小段312巷1至5號)
2548,延平段二小段129-1
2549,延平段二小段130
2550,延平段二小段130-1
2551,延平段二小段131
2552,延平段二小段129-1
2553,延平段二小段130
2554,延平段二小段130-1
2555,延平段二小段131
2556,迪化段三小段146
2557,迪化段三小段147
2558,迪化段三小段147-1
2559,迪化段三小段148
2560,迪化段三小段148-1
2561,迪化段三小段148-2
2562,迪化段三小段72巷4號6號
2563,延平段二小段271
2564,延平段二小段272
2565,延平段二小段272-1
2566,延平段二小段273
2567,延平段二小段274
2568,延平段二小段274-2
2569,延平段二小段275
2570,延平段二小段276
2571,延平段二小段277
2572,延平段二小段277-1
2573,延平段二小段278
2574,延平段二小段278-1
2575,延平段二小段279
2576,延平段二小段338號
2577,延平段二小段340號
2578,延平段二小段342巷2
2579,延平段二小段4
2580,延平段二小段6號
2581,迪化段二小段189
2582,延平段三小段210，211，211-1，212，212-1，213等六筆
2583,迪化段三小段146
2584,迪化段三小段147
2585,迪化段三小段147-1
2586,迪化段三小段148
2587,迪化段三小段148-1
2588,迪化段三小段148-2
2589,迪化段三小段72巷4號6號
2590,延平段三小段309，309-5號歸綏街303巷9號
2591,延平段二小段178
2592,延平段二小段179
2593,延平段二小段179-2
2594,延平段二小段180
2595,延平段二小段181
2596,延平段二小段182
2597,延平段二小段182-1
2598,延平段二小段183
2599,延平段二小段183-1
2600,延平段二小段184
2601,延平段二小段313號
