no.,volumn out parcel
537,金華段一小段822-1
538,金華段一小段822-2
539,金華段一小段822-3
540,懷生段二小段235
541,寶清段一小段604
542,溫泉段四小段274
543,仁愛段五小段285
544,復興段二小段22
545,瑞安段二小段71
546,復興段一小段629
547,文林段三小段836
548,永吉段一小段387
549,榮星段五小段568
550,西湖段一小段276-8
551,仁愛段三小段141
552,仁愛段三小段158
553,陽明段一小段516
554,陽明段一小段516-1
555,陽明段一小段519
556,陽明段一小段520
557,陽明段一小段520-1
558,陽明段一小段523
559,陽明段一小段525
560,海光段一小段406
561,海光段二小段278
562,陽明段二小段472
563,復興段一小段489
564,中山段四小段213-1
565,立農段一小段94-2
566,金華段一小段820
567,寶清段321
568,寶清段321-1
569,西松段二小段163
570,西松段三小段539-1
571,西松段三小段580
572,延吉段三小段712
573,仁愛段二小段425
574,仁愛段二小段427
575,仁愛段二小段438
576,橋北段一小段12
577,文昌段一小段141
578,大龍段一小段389-3
579,中山段一小段2
580,吉林段五小段301
581,德惠段四小段137-1
582,開明段二小段567
583,百齡段三小段497
584,三玉段五小段213
585,海光段一小段19
586,海光段一小段29
587,海光段二小段337
588,海光段二小段420
589,龍泉段三小段1095-2
590,龍泉段三小段4
591,中山段四小段213-1
592,立農段一小段94-2
593,虎林段四小段96
594,雅祥段一小段620
595,天母段一小段1-7
596,天母段一小段1-8
597,一小段699-9
598,一小段699-37
599,一小段433
600,三小段215
601,萬芳段二小段161
602,四小段132
603,四小段614-1
604,四小段620
605,文德段一小段277
606,玉泉段二小段390
607,中山段四小段213
608,中山段四小段213-1
609,龍泉段三小段10
610,龍泉段三小段17
611,一小段123
612,振興段四小段81-1
613,南港段四小段378-1
614,南港段四小段379
615,南港段四小段380
616,二小段306
617,二小段306-1
618,海光段二小段312
619,文昌段二小段183
620,福林段三小段784
621,一小段18
622,一小段
623,一小段423
624,一小段424
625,一小段425
626,一小段426
627,一小段427
628,一小段438
629,一小段441
630,一小段445
631,一小段446
632,一小段449
633,一小段450
634,二小段244
635,二小段306
636,一小段699-4
637,一小段699-5
638,六小段584
639,文德段一小段48
640,文德段一小段51
641,文德段一小段51-7
642,二小段277
643,二小段277-1
644,二小段277-3
645,萬隆段一小段463-1
646,豐年段三小段20
647,海光段一小段417
648,海光段一小段477
649,二小段299
650,龍泉段一小段1059
651,仁愛段六小段578
652,永新段三小段270
653,三興段一小段867
654,永春段一小段705
655,永春段一小段705-1
656,福德段二小段529
657,福德段二小段529-2
658,成功段三小段78
659,城中段一小段357
660,雙連段二小段460
661,雙連段三小段400
662,華中段四小段434
663,華江段一小段812
664,三玉段一小段402
665,永新段三小段193
666,永新段三小段226
667,海光段一小段398
668,海光段一小段399
669,海光段一小段420
670,海光段二小段244
671,海光段二小段418
672,海光段二小段92
673,福林段三小段784
674,文德段一小段51-1
675,文德段一小段51-5
676,木柵段四小段132
677,木柵段四小段614-1
678,木柵段四小段620
679,木柵段四小段623
680,萬芳段二小段285
681,萬芳段二小段308
682,萬芳段二小段311
683,萬芳段二小段314
684,萬芳段二小段368
685,萬芳段二小段377
686,萬慶段二小段753
687,豐年段三小段33
688,豐年段三小段34
689,豐年段三小段35
690,中山段四小段213-1
691,德惠段一小段70-2
692,德惠段一小段70-4
693,德惠段二小段2-1
694,德惠段三小段6-3
695,民生段27-25
696,民生段28-47
697,民生段28-54
698,西松段二小段134-1
699,美仁段一小段849
700,美仁段二小段895
701,寶清段二小段321-1
702,復興段三小段302
703,仁愛段三小段114
704,直興段三小段134
705,直興段三小段138
706,西湖段二小段278
707,中山段四小段213-1
708,榮星段二小段300-1
709,榮星段四小段119
710,雙連段一小段99
711,福林段三小段770
712,仁愛段二小段37
713,辛亥段一小段145-14
714,學府段一小段284
715,福林段三小段784
716,三小段784
717,三小段784區三玉段一小段645
718,榮星段二小段329
719,榮星段二小段361
720,榮星段二小段365
721,榮星段二小段378
722,榮星段二小段406
723,榮星段二小段406-1
724,榮星段二小段406-3
725,海光段二小段412
726,陽明段二小段70-1
727,榮星段四小段119
728,德惠段四小段296
729,豐年段四小段23
730,南港段一小段1286
731,吳興段二小段19-3
732,復興段三小段135-1
733,新民段四小段5-2
734,臨沂段一小段579
735,臨沂段一小段581
736,延平段三小段346
737,延平段三小段346
738,景美段5小段379
739,景美段5小段310(部分)
740,延平段三小段309
741,景美段5小段379
742,景美段5小段310(部分)
743,景美段5小段379
744,景美段5小段310(部分)
745,延平段三小段309
746,景美段5小段379
747,景美段5小段310(部分)
748,延平段三小段309
749,延平段三小段309-5
750,景美段5小段379
751,景美段5小段379-1
752,景美段5小段379
753,景美段5小段379-1
754,陽明段一小段516
755,光華段四小段653
756,成功段二小段98
757,仁愛段三小段116
758,榮星段三小段272-2
759,金華段一小段820
760,仁愛段二小段37
761,海光段一小段429
762,吳興段二小段19-3
763,海光段一小段461
764,玉成段二小段271-3
765,振興段二小段9
766,懷生段二小段235
767,榮星段四小段420
768,榮星段四小段無
769,立農段一小段94-2
770,陽明段二小段265
771,永新段三小段481-1
772,中山段4小段213-1
773,南港段四小段402
774,臨沂段一小段434
775,中山段四小段758-4
776,仁愛段二小段37
777,光華段三小段21
778,陽明段二小段70-1
779,南港段一小段1286
780,陽明段四小段202
781,陽明段四小段202
782,木柵段四小段71
783,延平段一小段128
784,福和段一小段888
785,福林段三小段770
786,立農段一小段94-2
787,民生段12-15
788,長安段一小段1-5等9筆土
789,仁愛段二小段37
790,萬隆段二小段6
791,德惠段四小段455
792,豐年段三小段2
793,懷生段三小段585-2
794,仁愛段二小段37
795,祥和段二小段504
796,萬芳段二小段287
797,雙園段三小段780
798,永春段一小段598
799,光華段三小段18
800,海光段一小段367
801,豐年段四小段23
802,一小段710
803,一小段711
804,一小段726
805,一小段727
806,一小段728
807,一小段729
808,一小段730
809,一小段731
810,一小段732
811,一小段733
812,一小段734
813,一小段735
814,一小段736
815,一小段710
816,一小段711
817,一小段726
818,一小段727
819,一小段728
820,一小段729
821,一小段730
822,一小段731
823,一小段732
824,一小段733
825,一小段734
826,一小段735
827,一小段736
828,一小段710
829,一小段711
830,一小段726
831,一小段727
832,一小段728
833,一小段729
834,一小段730
835,一小段731
836,一小段732
837,一小段733
838,一小段734
839,一小段735
840,一小段736
841,景美段5小段379
842,景美段5小段379-1
843,雅祥段一小段620
844,振興段三小段888
845,金華段三小段175-3
846,振興段四小段267-5
847,振興段四小段267-5
848,中正段二小段589
849,金華段三小段175-4
850,懷生段三小段585
851,立農段二小段217
852,中南段二小段285等11筆土
853,海光段二小段340
854,圓環段三小段49
855,吉林段二小段507
856,福和段一小段889-3
857,海光段一小段12
858,仁愛段二小段37
859,光華段一小段2-1
860,福林段三小段771
861,海光段一小段412
862,虎林段一小段709
863,吉林段二小段507
864,祥和段二小段490
865,復興段三小段135-1
866,豐年段三小段2
867,光華段一小段2-2
868,臨沂段三小段583-3
869,海光段一小段19
870,東湖段六小段323
871,陽明段四小段202
872,萬隆段一小段351
873,復興段三小段263
874,海光段一小段401
875,中正段二小段585
876,海光段一小段12
877,懷生段二小段252
878,永春段三小段318
879,長安段三小段1-1
880,永新段三小段228
881,龍泉段三小段4-1
882,福林段三小段781
883,陽明段三小段775
884,豐年段四小段68
885,陽明段三小段946
886,振興段二小段56
887,海光段二小段420
888,成功段二小段98
889,陽明段三小段942
890,中山段四小段213-1
891,海光段一小段21
892,豐年段四小段69
893,成功段二小段98
